samples	condition	Chao1	Shannon	Simpson
IGIB1130001	Pre-VOC	2275.434783	6.927165787	0.998673169
IGIB1130006	Pre-VOC	204	5.213867079	0.993796912
IGIB1130008	Pre-VOC	248	5.411661192	0.994855423
IGIB1130009	Pre-VOC	119	4.702703315	0.989908931
IGIB1130012	Pre-VOC	2107.6125	6.659948092	0.998264013
IGIB1130013	Pre-VOC	287	5.508890187	0.995288571
IGIB1130023	Pre-VOC	302	5.558639671	0.995598169
IGIB1130032	Pre-VOC	295	5.497141809	0.995127013
IGIB1130033	Pre-VOC	161	4.990601788	0.992349881
IGIB1130035	Pre-VOC	205	5.235828466	0.99403828
IGIB1130036	Pre-VOC	474	6.02234471	0.99721014
IGIB1130037	Pre-VOC	635	6.306800778	0.997857893
IGIB1130038	Pre-VOC	310	5.584464419	0.995689658
IGIB1130039	Pre-VOC	227	5.333236153	0.994612534
IGIB1130041	Pre-VOC	437	5.922812091	0.996903526
IGIB1130044	Pre-VOC	138	4.83496593	0.991144852
IGIB1130045	Pre-VOC	422	5.886871764	0.996758219
IGIB1130046	Pre-VOC	102	4.552851594	0.988399413
IGIB1130047	Pre-VOC	170	5.028032501	0.992639463
IGIB1130048	Pre-VOC	111	4.654563937	0.989808
IGIB1130049	Pre-VOC	110	4.624456988	0.98923596
IGIB11300693	Pre-VOC	51	3.886129748	0.978489917
IGIB11301309	Pre-VOC	3367.38835	7.531066674	0.999308786
IGIB11301421	Pre-VOC	3347.797445	7.568407276	0.999339685
IGIB11301578	Pre-VOC	3093.555977	7.474391766	0.999267195
IGIB11301692	Pre-VOC	56	3.959276879	0.979685992
IGIB11301715	Pre-VOC	312	5.58322627	0.99569099
IGIB11301835	Pre-VOC	473	5.998784428	0.997039669
IGIB11301874	Pre-VOC	3421	7.508193181	0.999292606
IGIB11301895	Pre-VOC	9	2.178992401	0.88474509
IGIB11301959	Pre-VOC	3772.7	7.657897319	0.999389974
IGIB11302541	Pre-VOC	243	5.371488363	0.994689964
IGIB11303310	Pre-VOC	58	4.014807552	0.981062367
IGIB11303528	Pre-VOC	58	4.021905378	0.981294203
IGIB11303565	Pre-VOC	100	4.523099966	0.988046152
IGIB11303573	Pre-VOC	546	6.136798983	0.997442581
IGIB11303588	Pre-VOC	149	4.883957812	0.991356776
IGIB11303663	Pre-VOC	175	5.078544099	0.993195067
IGIB11303980	Pre-VOC	102	4.572100506	0.98900428
IGIB11304156	Pre-VOC	3867.340031	7.70482363	0.999426657
IGIB11304171	Pre-VOC	47	3.801712291	0.976307441
IGIB11304174	Pre-VOC	4010.180921	7.711123622	0.999437835
IGIB11304239	Pre-VOC	376	5.767228952	0.996255351
IGIB11304384	Pre-VOC	62	4.091632417	0.9826125
IGIB11304386	Pre-VOC	170	5.03435981	0.992583665
IGIB11304392	Pre-VOC	92	4.439593875	0.986764757
IGIB11304400	Pre-VOC	164	5.00683015	0.992574321
IGIB11304409	Pre-VOC	3830.812303	7.689732974	0.999420848
IGIB11304410	Pre-VOC	133	4.813577406	0.990916798
IGIB11304423	Pre-VOC	396	5.820848583	0.996553542
IGIB11304428	Pre-VOC	147	4.891680875	0.991582855
IGIB11304453	Pre-VOC	472	6.007657266	0.997095057
IGIB11304639	Pre-VOC	4860.909091	7.716599333	0.999427022
IGIB11304644	Pre-VOC	87	4.399174099	0.986665174
IGIB11304645	Pre-VOC	295	5.614982209	0.996035583
IGIB11304655	Pre-VOC	170	5.046823217	0.992917973
IGIB11304665	Pre-VOC	23	3.114508692	0.954602076
IGIB11304668	Pre-VOC	4267.725914	7.671578012	0.999394712
IGIB11304669	Pre-VOC	147	4.868348183	0.991086117
IGIB11304690	Pre-VOC	320	5.661499794	0.996025415
IGIB11304763	Pre-VOC	140	4.855285532	0.991483012
IGIB11304768	Pre-VOC	39	3.624079035	0.972295918
IGIB11304857	Pre-VOC	50	3.863565754	0.977584648
